Date time,Automatic Weather Station,10-Minute Mean Wind Direction(Compass points),10-Minute Mean Speed(km/hour),10-Minute Maximum Gust(km/hour)
2.02409E+11,Central Pier,East,23,33
2.02409E+11,Chek Lap Kok,Southeast,22,29
2.02409E+11,Cheung Chau,East,30,36
2.02409E+11,Cheung Chau Beach,East,30,35
2.02409E+11,Green Island,East,30,46
2.02409E+11,Hong Kong Sea School,East,24,38
2.02409E+11,Kai Tak,Southeast,16,27
2.02409E+11,King's Park,Southeast,18,29
2.02409E+11,Lamma Island,East,21,33
2.02409E+11,Lau Fau Shan,East,12,24
2.02409E+11,Ngong Ping,East,27,34
2.02409E+11,North Point,East,19,26
2.02409E+11,Peng Chau,East,29,37
2.02409E+11,Sai Kung,East,15,19
2.02409E+11,Sha Chau,Southeast,21,27
2.02409E+11,Sha Tin,Southeast,11,22
2.02409E+11,Shek Kong,N/A,19,29
2.02409E+11,Stanley,Southeast,15,25
2.02409E+11,Star Ferry,East,22,35
2.02409E+11,Ta Kwu Ling,East,10,19
2.02409E+11,Tai Mei Tuk,East,15,19
2.02409E+11,Tai Po Kau,N/A,N/A,N/A
2.02409E+11,Tap Mun,Southeast,24,29
2.02409E+11,Tate's Cairn,East,21,29
2.02409E+11,Tseung Kwan O,Northeast,9,17
2.02409E+11,Tsing Yi,Southeast,12,24
2.02409E+11,Tuen Mun,South,17,28
2.02409E+11,Waglan Island,East,24,29
2.02409E+11,Wetland Park,East,5,15
2.02409E+11,Wong Chuk Hang,Southeast,12,26
